iter	Passed	Remaining
1051	1856	1672
1052	1857	1670
1053	1859	1669
1054	1860	1666
1055	1862	1664
1056	1864	1663
1057	1865	1660
1058	1866	1658
1059	1868	1657
1060	1870	1655
1061	1872	1653
1062	1874	1652
1063	1876	1650
1064	1878	1649
1065	1880	1647
1066	1881	1645
1067	1883	1643
1068	1884	1641
1069	1886	1639
1070	1888	1637
1071	1890	1636
1072	1891	1634
1073	1893	1632
1074	1895	1630
1075	1897	1629
1076	1899	1627
1077	1900	1625
1078	1901	1622
1079	1902	1620
1080	1903	1618
1081	1905	1616
1082	1907	1615
1083	1908	1613
1084	1910	1611
1085	1912	1609
1086	1913	1607
1087	1915	1605
1088	1916	1603
1089	1917	1601
1090	1919	1599
1091	1921	1597
1092	1922	1595
1093	1925	1594
1094	1927	1592
1095	1929	1591
1096	1931	1589
1097	1933	1587
1098	1934	1586
1099	1937	1584
1100	1938	1582
1101	1940	1581
1102	1941	1579
1103	1943	1577
1104	1945	1576
1105	1948	1574
1106	1950	1573
1107	1951	1571
1108	1953	1569
1109	1955	1568
1110	1957	1566
1111	1959	1565
1112	1961	1562
1113	1963	1561
1114	1965	1559
1115	1967	1558
1116	1969	1556
1117	1971	1555
1118	1974	1554
1119	1976	1553
1120	1979	1551
1121	1981	1550
1122	1982	1548
1123	1985	1547
1124	1987	1545
1125	1988	1543
1126	1990	1541
1127	1991	1539
1128	1992	1537
1129	1995	1536
1130	1999	1536
1131	2001	1534
1132	2004	1534
1133	2007	1532
1134	2009	1531
1135	2011	1529
1136	2013	1528
1137	2015	1526
1138	2017	1525
1139	2019	1523
1140	2023	1523
1141	2025	1521
1142	2055	1541
1143	2059	1540
1144	2067	1544
1145	2070	1542
1146	2072	1541
1147	2074	1539
1148	2076	1538
1149	2078	1536
1150	2080	1534
1151	2082	1533
1152	2084	1531
1153	2087	1530
1154	2088	1528
1155	2091	1526
1156	2093	1525
1157	2095	1523
1158	2097	1521
1159	2100	1520
1160	2103	1520
1161	2105	1518
1162	2107	1516
1163	2109	1514
1164	2110	1512
1165	2112	1510
1166	2114	1509
1167	2116	1507
1168	2117	1505
1169	2119	1503
1170	2121	1501
1171	2123	1500
1172	2124	1497
1173	2125	1495
1174	2127	1494
1175	2129	1492
1176	2131	1490
1177	2133	1488
1178	2134	1486
1179	2137	1485
1180	2138	1483
1181	2139	1480
1182	2141	1478
1183	2142	1476
1184	2144	1475
1185	2146	1473
1186	2148	1471
1187	2149	1468
1188	2150	1467
1189	2152	1465
1190	2154	1463
1191	2156	1461
1192	2158	1459
1193	2160	1458
1194	2161	1456
1195	2163	1454
1196	2165	1452
1197	2166	1450
1198	2168	1448
1199	2170	1447
1200	2172	1445
1201	2174	1443
1202	2175	1441
1203	2177	1439
1204	2178	1437
1205	2180	1435
1206	2182	1433
1207	2183	1431
1208	2186	1430
1209	2188	1428
1210	2190	1427
